internal_id,lifter
1,Pedro Meloni
2,Anna Swisher
3,Admin Admin
4,Garret Taylor
5,Merissa Pryce
6,Keras Lesko
7,Luke Siefert
8,Joe Ranvestel
9,Jonathan Wood
10,Zach Powell
11,Ian Lawson
12,Jayme Greaves
13,Christine Cardwell
14,Brad Collins
15,Lucy Berman
16,Dennis Snethen
17,Michael Lozano
18,Lukas Johnson
19,radu motoc
20,Taylor Grebe
21,Joseph Roberto
22,ssci ssci
23,Noelle Peter
24,Aidan Bailey
25,Christopher Krieg
26,Sean ODay
27,Marshall Roundy
28,Michael Cohen
29,Quentin Patault
30,Griffin Dunn
31,Adam White
32,Jason Rybka
33,Joseph Crum
34,Cassie Haynes
35,Alex Harrison
36,Jeffrey King
37,Alex Diaz
38,Michael Stout
39,Armand Turgeon
40,Adam Swirz
41,Robert Fusillo
42,Joseph Amendolaro
43,Arnold Khalfin
44,Nixon Munly
45,Richard Greenblatt
46,Dennis Mitchell
47,Carol Clark
48,Matvey Solovyev
49,Thomas Pope
50,Howard Cohen
51,James Fassett
52,Michael Huszka
53,Lev Epshteyn
54,Don Ramos
55,Rudolf Kotlikov
56,Robert C. White Jr.
57,Alexandr Avanesov
58,Charles Scott
59,Bill Bolton
60,William (Bill) Thaggard
61,Norman Lewis
62,Philip Markert
63,Iosif Plagov
64,Elsa Dahl
65,Bruce Spiegelberg
66,Wayne Asher
67,Beryl Paletz
68,Robert (Bob) Strange
69,Sergey Artamonov
70,Teresa De la O
71,Jon Racklin
72,William Hosken
73,John Ross
74,Ron Millard
75,Joseph DeLuca
76,John Harrison
77,Dorothy Gardner
78,Janice Talluto
79,Thomas Walters
80,John Blasco
81,Robert Southerlan
82,Roy Setterberg
83,Gordon Varnedoe
84,William Schaaf
85,Bill Pearce
86,Peter Carleton
87,Vladimir Heifetz
88,Edgar Persons
89,Monroe Nowotny
90,Randhir Virk
91,Janis McBee
92,Stan Bailey
93,Denis Reno
94,Leon Pelletier
95,Bill Waugh
96,Howard Bovell
97,Anthony DiVincenti
98,John Lombardo
99,William Thedford
100,Neal Mulligan
101,Jim Casey
102,Richard Halminiak
103,Robert Thomas
104,Thomas Wilson
105,Gary Deal
106,Edward Perez
107,gerald mccaffery
108,allan foodman
109,Thomas Hargis
110,Russell Williams
111,Elaine Waugh
112,Art Tarwater
113,Janet Tarn
114,Simon Rudle
115,Marilyn Munkres
116,Deane Knapp
117,Robert Pereda
118,James Cushing-murray
119,Les Cramer
120,James Dabadie
121,Robert Loofboro
122,Joseph Soltysik
123,Glenn Harris
124,Richard Sipos
125,Dennis Habecker
126,Chan Berbary
127,Ernest Petersen
128,Donald Scoles
129,Vanchin Baljinnyam
